pollster,fieldwork_end,labour,conservative,reform,libdem,green,leader_net,source_url
Find Out Now,2025-04-30,21.0,19.0,29.0,13.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/04/30th-April-VI-Find-Out-Now.xlsx
Opinium,2025-05-02,26.0,19.0,27.0,13.0,9.0,-34,https://www.opinium.com/wp-content/uploads/2025/05/Observer-VI-2025-04-30-Data-Tables.xlsx
Survation,2025-05-02,26.0,22.0,26.0,12.0,7.0,,https://files.survation.com/s/C1UWmZYEQ79nXY9/download
More in Common,2025-05-04,23.0,21.0,27.0,15.0,8.0,-38,https://www.moreincommon.org.uk/media/v1mku52w/voting-intention_may4.xlsx
Survation,2025-05-05,25.0,18.0,30.0,13.0,7.0,-24,https://cdn.survation.com/wp-content/uploads/2025/05/15152106/True-North-UK-May_2025_V1.xlsx
Ipsos,2025-05-05,,,,,,-26,https://www.ipsos.com/en-uk/british-public-now-see-reform-main-opposition-over-conservatives-and-believe-farage-more-likely-be
YouGov,2025-05-06,22.0,17.0,29.0,16.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250506_w.pdf
Find Out Now,2025-05-07,20.0,16.0,33.0,15.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/05/7th-May-VI-Find-Out-Now.xlsx
Techne,2025-05-08,23.0,19.0,28.0,14.0,8.0,,https://www.techneuk.com/wp-content/uploads/2025/05/R151-UK-2025-5-9-DATA.pdf
BMG Research,2025-05-08,22.0,19.0,32.0,13.0,9.0,-39,https://bmgresearch.com/wp-content/uploads/2025/05/april-2025-omnibus-tables-for-the-i.xlsx
Freshwater Strategy,2025-05-11,22.0,19.0,32.0,15.0,8.0,,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-110525.xlsx
Find Out Now,2025-05-11,,,,,,-53,https://cms.findoutnow.co.uk/app/uploads/2025/07/maywellorbad.pdf
YouGov,2025-05-12,23.0,18.0,28.0,16.0,9.0,-35,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250512_w.pdf
More in Common,2025-05-12,25.0,20.0,28.0,14.0,8.0,-34,https://www.moreincommon.org.uk/media/omccepjs/votingintention_12may.xlsx
YouGov,2025-05-13,,,,,,-43,https://d3nkl3psvxxpe9.cloudfront.net/documents/Topline_Eurotrack_May25_w_gugbx3J.pdf
Ipsos,2025-05-13,,,,,,-31,https://www.ipsos.com/en-uk/british-public-now-see-reform-main-opposition-over-conservatives-and-believe-farage-more-likely-be
Find Out Now,2025-05-14,21.0,16.0,33.0,14.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/05/14th-May-VI-Find-Out-Now.xlsx
YouGov,2025-05-14,,,,,,-46,https://yougov.co.uk/politics/articles/52187-political-favourability-ratings-may-2025
Techne,2025-05-15,22.0,18.0,29.0,15.0,9.0,,https://www.techneuk.com/wp-content/uploads/2025/05/R152-UK-2025-5-16-DATA.pdf
Opinium,2025-05-16,25.0,18.0,29.0,13.0,10.0,-34,https://www.opinium.com/wp-content/uploads/2025/05/VI-2025-05-14-Observer-Tables-1722.xlsx
YouGov,2025-05-19,22.0,16.0,29.0,17.0,10.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250519_w.pdf
More in Common,2025-05-19,22.0,21.0,30.0,14.0,8.0,-37,https://www.moreincommon.org.uk/media/2bnl5sjw/votingintention19may.xlsx
Find Out Now,2025-05-21,21.0,16.0,32.0,14.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/05/21st-May-VI-Find-Out-Now.xlsx
Techne,2025-05-22,22.0,17.0,30.0,16.0,9.0,,https://www.techneuk.com/wp-content/uploads/2025/05/R153-UK-2025-5-23-DATA.pdf
