pollster,fieldwork_end,labour,conservative,reform,libdem,green,leader_net,source_url
Find Out Now,2025-12-24,14.0,18.0,30.0,12.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2025/12/24th-December-VI-Find-Out-Now.xlsx
YouGov,2025-12-29,,,,,,-58,https://d3nkl3psvxxpe9.cloudfront.net/documents/P_Main_Political_Tracker_Survey_Rotation14_sr_22.pdf
Find Out Now,2025-12-31,15.0,17.0,31.0,12.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2026/01/31st-December-VI-Find-Out-Now.xlsx
YouGov,2026-01-05,17.0,19.0,26.0,16.0,15.0,-56,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260105_w.pdf
More in Common,2026-01-05,19.0,23.0,31.0,12.0,10.0,-47,https://www.moreincommon.org.uk/media/q0odjn4s/voting-intention-january-7.xlsx
Find Out Now,2026-01-08,15.0,18.0,32.0,12.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2026/01/7th-January-VI-Find-Out-Now.xlsx
Opinium,2026-01-09,20.0,18.0,31.0,12.0,13.0,-46,https://www.opinium.com/wp-content/uploads/2026/01/Observer-VI-2026-01-07-data-tables-1209.xlsx
YouGov,2026-01-09,18.0,19.0,26.0,14.0,15.0,,https://yougov.co.uk/politics/articles/53923-how-would-britain-vote-at-the-start-of-2026
Freshwater Strategy,2026-01-11,19.0,19.0,33.0,11.0,12.0,-44,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-110126.xlsx
YouGov,2026-01-12,19.0,20.0,24.0,16.0,14.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260112_w.pdf
More in Common,2026-01-13,19.0,21.0,31.0,12.0,12.0,-47,https://www.moreincommon.org.uk/media/0h0dlxs5/voting-intention-january-14.xlsx
Find Out Now,2026-01-14,15.0,19.0,28.0,12.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2026/01/14th-January-VI-Find-Out-Now.xlsx
Survation,2026-01-14,21.0,19.0,29.0,11.0,11.0,-41,https://cdn.survation.com/wp-content/uploads/2026/01/15163049/Survation_VI_2026-01-15_Tables.xlsx
Techne,2026-01-15,19.0,20.0,28.0,15.0,13.0,,https://www.techneuk.com/wp-content/uploads/2026/01/R161-UK-2026-1-16-DATA.pdf
YouGov,2026-01-16,,,,,,-57,https://yougov.co.uk/politics/articles/53907-political-favourability-ratings-january-2026
Opinium,2026-01-18,,,,,,-43,https://www.opinium.com/resource-center/was-kemi-badenoch-right-to-sack-robert-jenrick/
YouGov,2026-01-19,19.0,18.0,24.0,14.0,17.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260119_w.pdf
Focaldata,2026-01-19,21.0,20.0,26.0,14.0,10.0,-46,https://3959436.fs1.hubspotusercontent-na1.net/hubfs/3959436/Marketing%20content/Focaldata_January%20VI%20tables%2c%2016-19%20Jan%202026.xlsx
More in Common,2026-01-19,20.0,21.0,31.0,13.0,11.0,-45,https://www.moreincommon.org.uk/media/zcmphl4x/voting-intention-january-21.xlsx
Lord Ashcroft Polls,2026-01-19,18.0,21.0,25.0,11.0,18.0,,https://lordashcroftpolls.com/2026/01/kemis-been-tough-and-jenricks-a-bit-of-a-bounder-say-tory-voters-but-plenty-agree-with-him-that-britain-is-broken/
Ipsos,2026-01-19,,,,,,-42,https://www.ipsos.com/en-uk/nearly-half-britons-approve-jenrick-sacking-ipsos-poll-reveals
Find Out Now,2026-01-21,14.0,18.0,32.0,11.0,17.0,,https://cms.findoutnow.co.uk/app/uploads/2026/01/21st-January-VI-Find-Out-Now.xlsx
Opinium,2026-01-23,22.0,17.0,31.0,13.0,11.0,-41,https://www.opinium.com/wp-content/uploads/2026/01/VI-2026-01-21-Opinium-Observer-Data-Tables-1415.xlsx
More in Common,2026-01-25,22.0,20.0,29.0,13.0,10.0,-41,https://www.moreincommon.org.uk/media/cq2jvb3t/voting-intention-january-28.xlsx
YouGov,2026-01-26,21.0,17.0,25.0,14.0,16.0,-51,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260126_w.pdf
Ipsos,2026-01-27,22.0,19.0,30.0,12.0,12.0,-62,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-01/politmkp_w1jan2026web1.pdf
Find Out Now,2026-01-28,17.0,17.0,29.0,11.0,19.0,,https://cms.findoutnow.co.uk/app/uploads/2026/01/28th-January-VI-Find-Out-Now.xlsx
BMG Research,2026-01-29,20.0,17.0,32.0,11.0,13.0,-49,https://bmgresearch.com/wp-content/uploads/2026/02/january-2026-omnibus-tables-for-the-i.xlsx
Survation,2026-01-29,18.0,20.0,31.0,12.0,12.0,,https://cdn.survation.com/wp-content/uploads/2026/01/30163059/Survation_Voter_Intention_Jan_2026.xlsx
Freshwater Strategy,2026-02-01,17.0,22.0,30.0,14.0,14.0,-42,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-010226.xlsx
YouGov,2026-02-02,19.0,18.0,26.0,14.0,17.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260202_w.pdf
More in Common,2026-02-02,21.0,20.0,30.0,14.0,10.0,-45,https://www.moreincommon.org.uk/media/dmgmx3t2/voting-intention-february-4.xlsx
Find Out Now,2026-02-04,16.0,18.0,31.0,11.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2026/02/4th-February-VI-Find-Out-Now.xlsx
YouGov,2026-02-04,,,,,,-50,https://yougov.com/en-gb/articles/54177-how-popular-are-national-leaders-in-europe-february-2026
Opinium,2026-02-06,23.0,16.0,31.0,10.0,13.0,-44,https://www.opinium.com/wp-content/uploads/2026/02/Observer-VI-2026-02-04-Web-Data-Tables-1152.xlsx
YouGov,2026-02-09,19.0,18.0,27.0,14.0,16.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260209_w.pdf
More in Common,2026-02-10,23.0,21.0,30.0,12.0,10.0,-51,https://www.moreincommon.org.uk/media/dshdwjt0/voting-intention-and-trackers-10-feb.xlsx
Ipsos,2026-02-10,,,,,,-44,https://www.ipsos.com/en-uk/over-two-thirds-britons-do-not-have-confidence-government-running-country-competence-or-integrity
Find Out Now,2026-02-11,16.0,19.0,29.0,11.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2026/02/11th-February-VI-Find-Out-Now.xlsx
YouGov,2026-02-11,,,,,,-47,https://yougov.co.uk/politics/articles/54093-political-favourability-ratings-february-2026
Techne,2026-02-12,17.0,19.0,30.0,14.0,15.0,,https://www.techneuk.com/wp-content/uploads/2026/02/R162-UK-2026-2-13-DATA.pdf
Trajectory Partnership,2026-02-12,23.0,19.0,31.0,10.0,9.0,,https://trajectorypartnership.com/mp-files/voting-intention-february-2026.pdf/
JL Partners,2026-02-12,23.0,19.0,31.0,12.0,9.0,,https://static1.squarespace.com/static/6904b7d27b086635255def7e/t/6994571ee6b2420f5cdae103/1771329311172/Voting_Intention_2026.2.12.xlsx
YouGov,2026-02-16,19.0,18.0,24.0,13.0,17.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260216_w.pdf
Good Growth Foundation,2026-02-16,21.0,20.0,28.0,12.0,12.0,,https://www.goodgrowthfoundation.co.uk/s/GGF-Insights-Voting-Intention-Tables-1.xlsx
More in Common,2026-02-17,22.0,21.0,28.0,11.0,12.0,-43,https://www.moreincommon.org.uk/media/elppw4pk/voting-intention-february-18.xlsx
Find Out Now,2026-02-18,16.0,16.0,28.0,10.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2026/02/18th-February-VI-Find-Out-Now.xlsx
YouGov,2026-02-23,18.0,18.0,24.0,14.0,17.0,-55,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260223_w.pdf
More in Common,2026-02-23,22.0,20.0,28.0,14.0,11.0,-46,https://www.moreincommon.org.uk/media/c0kf1gtu/voting-intention-february-25.xlsx
Lord Ashcroft Polls,2026-02-23,17.0,20.0,22.0,11.0,19.0,,https://lordashcroftpolls.com/wp-content/uploads/2026/02/Lord-Ashcroft-Polls-Feb-2026-survey-Full-tables.xls
Ipsos,2026-02-24,,,,,,-39,https://www.ipsos.com/en-uk/low-support-electoral-pacts-among-britons
Find Out Now,2026-02-25,15.0,18.0,26.0,12.0,18.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/25th-February-VI-Find-Out-Now.xlsx
Opinium,2026-02-27,18.0,18.0,30.0,12.0,13.0,-49,https://www.opinium.com/wp-content/uploads/2026/02/VI-2026-02-25-Observer-Web-Tables-1841.xlsx
Freshwater Strategy,2026-03-01,18.0,18.0,30.0,13.0,15.0,-42,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-010326.xlsx
Convergent Opinion,2026-03-01,20.0,17.0,25.0,12.0,14.0,,https://convergent-opinion.com/polling-archive/persuasion_uk_20260226_18fd44_tables.xlsx
YouGov,2026-03-02,16.0,16.0,23.0,14.0,21.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_260302_w.pdf
More in Common,2026-03-02,18.0,19.0,29.0,14.0,14.0,-48,https://www.moreincommon.org.uk/media/roshxxom/voting-intention-2-march.xlsx
BMG Research,2026-03-04,,,,,,-43,https://bmgresearch.com/news/bmg-and-the-i-poll-tactical-voting-and-the-war-in-iran/
Survation,2026-03-05,21.0,18.0,29.0,10.0,12.0,-25,https://files.survation.com/s/FV20pJPQuCT24Tn/download
BMG Research,2026-03-05,20.0,18.0,27.0,12.0,14.0,,https://bmgresearch.com/wp-content/uploads/2026/03/february-2026-omnibus-tables-for-the-i.xlsx
JL Partners,2026-03-05,20.0,20.0,27.0,12.0,14.0,,https://static1.squarespace.com/static/6904b7d27b086635255def7e/t/69aff1474c7b50738a7eb298/1773138247858/Voting_Intention_2026.3.5.xlsx
Convergent Opinion,2026-03-06,19.0,19.0,24.0,13.0,15.0,,https://convergent-opinion.com/polling-archive/meliore-vi-260306.xlsx
Opinium,2026-03-06,21.0,16.0,29.0,10.0,14.0,-42,https://www.opinium.com/wp-content/uploads/2026/03/VI-2026-03-04-Opinium-Observer-Web-Tables-1411.xlsx
Find Out Now,2026-03-06,15.0,17.0,27.0,10.0,21.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/4th-March-VI-Find-Out-Now.xlsx
More in Common,2026-03-09,22.0,19.0,30.0,13.0,11.0,-41,https://www.moreincommon.org.uk/media/jkqdgsp4/9-march-voting-intention.xlsx
YouGov,2026-03-10,17.0,19.0,23.0,14.0,19.0,,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_Results_260310_w.pdf
Focaldata,2026-03-10,,,,,,-48,https://www.focaldata.com/blog/westminster-voting-intention-greens-surge-after-by-election-win
Find Out Now,2026-03-11,15.0,17.0,26.0,11.0,21.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/11th-March-VI-Find-Out-Now.xlsx
Ipsos,2026-03-11,21.0,17.0,28.0,9.0,17.0,-53,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-03/Ipsos%20Political%20Monitor%20Tables%20March%202026.pdf
Trajectory Partnership,2026-03-11,27.0,19.0,24.0,10.0,12.0,,https://trajectorypartnership.com/mp-files/voting-intention-march-2026.pdf/
Techne,2026-03-12,17.0,18.0,27.0,14.0,17.0,,https://www.techneuk.com/wp-content/uploads/2026/03/R163-UK-2026-3-13-DATA.pdf
YouGov,2026-03-13,,,,,,-53,https://d3nkl3psvxxpe9.cloudfront.net/documents/Copy_of_Topline_Eurotrack_Mar26.pdf
YouGov,2026-03-16,17.0,17.0,25.0,14.0,19.0,,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_Results_260316_w.pdf
More in Common,2026-03-16,20.0,21.0,28.0,12.0,13.0,-45,https://www.moreincommon.org.uk/media/vsghduog/voting-intention-16-march.xlsx
JL Partners,2026-03-16,,,,,,-40,https://static1.squarespace.com/static/6904b7d27b086635255def7e/t/69caef50033e6a2cca11080f/1774907218170/Starmer+favourability.xlsx
Find Out Now,2026-03-18,16.0,17.0,25.0,11.0,19.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/18th-March-VI-Find-Out-Now.xlsx
YouGov,2026-03-19,,,,,,-48,https://yougov.com/en-gb/articles/54380-political-favourability-ratings-march-2026
Opinium,2026-03-20,21.0,17.0,27.0,12.0,15.0,-38,https://www.opinium.com/wp-content/uploads/2026/03/VI-2026-03-18-Opinimu-Observer-Web-Tables-1210.xlsx
More in Common,2026-03-22,19.0,20.0,27.0,14.0,12.0,-42,https://www.moreincommon.org.uk/media/0qjl55zw/voting-intention-march-18.xlsx
YouGov,2026-03-23,19.0,17.0,23.0,13.0,18.0,-50,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_Results_260323_w.pdf
Verian,2026-03-23,15.0,18.0,25.0,14.0,20.0,,https://www.veriangroup.com/hubfs/UK/polling/method-and-tables/march-2026-.pdf
Find Out Now,2026-03-25,16.0,16.0,25.0,10.0,19.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/Restore-VI-25th-March.xlsx
BMG Research,2026-03-26,19.0,18.0,28.0,12.0,16.0,-46,https://bmgresearch.com/wp-content/uploads/2026/03/march-2026-omnibus-tables-for-the-i.xlsx
Find Out Now,2026-03-27,16.0,18.0,24.0,12.0,20.0,,https://cms.findoutnow.co.uk/app/uploads/2026/03/26th-March-VI-Find-Out-Now.xlsx
YouGov,2026-03-30,18.0,19.0,23.0,12.0,19.0,,https://ygo-assets-websites-editorial-emea.yougov.net/documents/VotingIntention_MRP_Results_260330_w.pdf
